date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:10:55	103911/103911	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20May%202024%2023:18:23%20GMT	https://playthedarkness.blogspot.com/2024/05/play.html	C:/My%20Web%20Sites/darkness/playthedarkness.blogspot.com/2024/05/play.html	(from )
23:10:55	129/129	---MCZ	200	added ('OK')	text/plain	date:Wed,%2029%20May%202024%2023:18:23%20GMT	https://playthedarkness.blogspot.com/robots.txt		(from )
23:10:56	65353/65353	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20May%202024%2020:10:58%20GMT	https://playthedarkness.blogspot.com/2024/05/https	C:/My%20Web%20Sites/darkness/playthedarkness.blogspot.com/2024/05/https.1.delayed	(from https://playthedarkness.blogspot.com/2024/05/play.html)
23:10:56	11802/11802	---M--	200	added ('OK')	text/javascript	date:Thu,%2020%20Jul%202023%2022:48:00%20GMT	https://www.gstatic.com/external_hosted/clipboardjs/clipboard.min.js	C:/My%20Web%20Sites/darkness/www.gstatic.com/external_hosted/clipboardjs/clipboard.min.js	(from https://playthedarkness.blogspot.com/2024/05/play.html)
23:10:58	1/1	---MC-	200	added ('OK')	text/css	date:Thu,%2030%20May%202024%2020:10:59%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=6836802470155127263&zx=e20c9c21-50f2-4755-a518-9bf7341e383f	C:/My%20Web%20Sites/darkness/www.blogger.com/dyn-css/authorization1450.css	(from https://playthedarkness.blogspot.com/2024/05/play.html)
23:10:58	20816/20816	---M--	200	added ('OK')	image/webp	date:Sat,%2010%20Jun%202023%2008:57:39%20GMT	https://images-ext-1.discordapp.net/external/tm2NjaKblvgyKAVzPLEEYEv6ctXZgQ3pMJK8MNow7-A/https/media.indiedb.com/images/members/5/4709/4708199/profile/2023-05-21_20-52-33.jpg?format=webp&width=1229&height=676	C:/My%20Web%20Sites/darkness/images-ext-1.discordapp.net/external/tm2NjaKblvgyKAVzPLEEYEv6ctXZgQ3pMJK8MNow7-A/https/media.indiedb.com/images/members/5/4709/4708199/profile/2023-05-21_20-52-33307e.jpg	(from https://playthedarkness.blogspot.com/2024/05/play.html)
23:10:59	31522/31522	---M--	200	added ('OK')	image/webp	date:Sat,%2010%20Jun%202023%2008:57:25%20GMT	https://images-ext-1.discordapp.net/external/fDG6-pZE6zy__CUQcRU-tMdTxBZHbQRKpGXZbhwQEl4/https/media.indiedb.com/images/members/5/4709/4708199/profile/2023-05-21_20-41-17.jpg?format=webp&width=1229&height=676	C:/My%20Web%20Sites/darkness/images-ext-1.discordapp.net/external/fDG6-pZE6zy__CUQcRU-tMdTxBZHbQRKpGXZbhwQEl4/https/media.indiedb.com/images/members/5/4709/4708199/profile/2023-05-21_20-41-17307e.jpg	(from https://playthedarkness.blogspot.com/2024/05/play.html)
23:10:59	1403/1403	---M--	200	added ('OK')	text/javascript	date:Thu,%2020%20Jul%202023%2022:48:00%20GMT	https://www.google-analytics.com/plugins/ua/ecommerce.js	C:/My%20Web%20Sites/darkness/www.google-analytics.com/plugins/ua/ecommerce.js	(from https://playthedarkness.blogspot.com/2024/05/play.html)
23:11:02	10125/10125	---MCZ	200	added ('OK')	text/css	etag:W/%2266198a96-278d%22	https://static.itch.io/theme_editor.css?1652314858	C:/My%20Web%20Sites/darkness/static.itch.io/theme_editor9181.css	(from https://playthedarkness.blogspot.com/2024/05/play.html)
23:11:03	155038/155038	---MCZ	200	added ('OK')	text/css	etag:W/%2266299c5b-25d9e%22	https://static.itch.io/game.css?1652314858	C:/My%20Web%20Sites/darkness/static.itch.io/game9181.css	(from https://playthedarkness.blogspot.com/2024/05/play.html)
